model,horizon_step,ade_meters,fde_meters,rmse_meters,mae_meters
constant_velocity,1,21.96422852643449,21.96422852643449,46.67125374185657,13.868668391723201
constant_velocity,2,34.67674873876068,47.389268951086876,77.86969368925254,21.94287274906912
constant_velocity,3,49.292374923525145,78.52362729305408,113.76956745658428,31.24515792549855
constant_velocity,4,65.47863517670808,114.03741593625692,152.49931706728475,41.56053384168589
constant_velocity,5,83.07139123663492,153.44241547634226,193.4682178555823,52.79538738838439
constant_velocity,6,101.76104225141232,195.20929732529936,236.13568310049575,64.79094092817034
constant_velocity,7,121.47179397454482,239.73630431333967,280.70066759742247,77.47005304821849
constant_velocity,8,142.11602055386274,286.6256066090883,326.86083764954844,90.69292956890773
constant_velocity,9,163.57308206986832,335.2295741979127,374.4405261405438,104.40673841479268
constant_velocity,10,185.81616538048073,386.00391517599286,423.7313725242439,118.62211420598332
constant_velocity,11,208.7659666324516,438.26397915216006,474.66932476588414,133.28075485361526
constant_velocity,12,232.33352362787122,491.57665057748693,527.0169341455392,148.3274639434779
constant_velocity,13,256.5512710941852,547.1642406899532,580.8258320741137,163.76959107941994
constant_velocity,14,281.3307452877912,603.4639098046691,635.7469100731354,179.54600706543778
constant_velocity,15,306.5470334627461,659.5750679121155,691.5849346411763,195.59882594651788
linear_lstsq,1,25.87943750659351,25.87943750659351,45.49484438174103,16.398768684080252
linear_lstsq,2,41.2758693384757,56.67230117035788,74.94094220262242,26.175811390946347
linear_lstsq,3,58.55724997748924,93.12001125551635,108.2791918415275,37.166010270013146
linear_lstsq,4,77.3608885200998,133.77180414793145,143.83539099577237,49.161198771608554
linear_lstsq,5,97.57094972644825,178.4111945518421,181.20589044594112,62.07027570021943
linear_lstsq,6,118.97230718930456,225.97909450358608,219.93633467958418,75.74656917682339
linear_lstsq,7,141.47043397373332,276.45919468030576,260.11786648129237,90.09720311173321
linear_lstsq,8,164.97541694798403,329.51029776773913,301.3272868146623,105.05725707233228
linear_lstsq,9,189.44113285153784,385.16686007996833,343.4625422263604,120.61730151718521
linear_lstsq,10,214.79702503177708,443.00005465393065,386.84567708923043,136.71754251423067
linear_lstsq,11,240.9037089742448,501.97054839892155,431.28487678465723,153.27244198828035
linear_lstsq,12,267.6742023940706,562.1496300121543,476.4105575800666,170.2233209026132
linear_lstsq,13,295.13893985175423,624.715789343958,522.2921199228335,187.5841119301448
linear_lstsq,14,323.1692452064081,687.5632148169086,568.6948530692263,205.2903212625103
linear_lstsq,15,351.62295408203056,749.9748783407442,615.523911476211,223.2560040683574
lstm_baseline,1,69327.08738116166,69327.08738116166,236617.81623718384,41675.38858232518
lstm_baseline,2,69155.37834471125,68983.66930826083,234151.88905557568,41541.28712644395
lstm_baseline,3,69869.42992107786,71297.53307381105,235263.15845765139,41874.32034694188
lstm_baseline,4,70078.19096860931,70704.4741112037,235260.45292605818,42075.52755209026
lstm_baseline,5,70111.39097455237,70244.1909983246,234788.74029379716,42134.25993655215
lstm_baseline,6,69856.57031182013,68582.46699815894,234044.10503058732,42085.618277789086
lstm_baseline,7,70396.36058011143,73635.10218985922,234436.39421151075,42354.71311430379
lstm_baseline,8,70194.19325904039,68779.02201154307,233623.79138964723,42228.472595927095
lstm_baseline,9,70335.69078239772,71467.67096925642,233954.6345028505,42261.76111680745
lstm_baseline,10,70369.64967279423,70675.27968636272,233968.55355282352,42275.854317928075
lstm_baseline,11,70372.21150819818,70397.82986223775,233850.28868736522,42274.79006488659
lstm_baseline,12,70184.78863500283,68123.13702985382,234000.86511979054,42187.80314294491
lstm_baseline,13,70051.71913619731,68454.8851505312,233964.39322151747,42115.489024432
lstm_baseline,14,70088.74126130389,70570.02888768935,233910.48200417883,42137.71360344382
lstm_baseline,15,69926.434155866,67654.13467973549,233702.26477598527,42058.4212331303
transformer_baseline,1,79463.32521945529,79463.32521945529,148047.54197863734,47034.466740832926
transformer_baseline,2,78235.83686990458,77008.34852035387,132419.81880721,46766.7434505553
transformer_baseline,3,80591.85258617533,85303.88401871684,126000.92490501863,47707.90932203526
transformer_baseline,4,78966.68425201788,74091.17924954552,126856.22209857509,46850.94761142196
transformer_baseline,5,80808.94444356329,88177.98520974492,126954.00785958156,47970.80264828667
transformer_baseline,6,80682.71335147713,80051.55789104637,126769.86186388358,48125.20374827035
transformer_baseline,7,81303.70243029176,85029.63690317943,128730.29197512384,48358.583668168554
transformer_baseline,8,82966.49541202324,94606.04628414375,132319.1239395125,49261.15234812168
transformer_baseline,9,83822.94082994296,90674.5041733006,133597.18920852,49688.8293091485
transformer_baseline,10,82623.93911853932,71832.92371590654,131392.04311840844,49070.29769114818
transformer_baseline,11,83028.17425381334,87070.52560655373,132760.0569598915,49315.80944461789
transformer_baseline,12,82021.14565317187,70943.83104611567,131848.65082849623,48779.37483741063
transformer_baseline,13,81739.79648911313,78363.60652040812,131628.01794079196,48646.19650934517
transformer_baseline,14,81688.80761809538,81025.95229486465,131573.61918497353,48669.10567731377
transformer_baseline,15,81626.71890193506,80757.47687569055,131464.729295995,48620.143788508605
