model,status,split_policy,ade_meters,fde_meters,rmse_meters,mae_meters,n_train,n_val,n_test,forecast_steps,metric_unit,unit_verified,train_seconds,inference_seconds,notes
constant_acceleration,ok,temporal_test,35076.62420853917,76360.56836828934,737164.2289124491,28836.29580207922,130428,27948,27950,15,haversine_meters,True,0.0,0.0061070919036865234,
constant_velocity,ok,temporal_test,2751.2525645119786,4469.779355931539,77190.66714091826,1742.5974640373477,130428,27948,27950,15,haversine_meters,True,0.0,0.005568027496337891,
gru_baseline,ok,temporal_test,25215.48926251563,25571.812116781482,29923.914129129185,14863.551143706956,130428,27948,27950,15,haversine_meters,True,149.82923221588135,1.3470501899719238,
kalman_filter_cv,ok,temporal_test,1759.7456066174311,2704.4538127358196,22422.65354123169,1101.0958960275714,130428,27948,27950,15,haversine_meters,True,0.0,0.02038717269897461,
linear_lstsq,ok,temporal_test,3052.2967840577753,4908.660421377614,13349.07901798738,1910.26934789381,130428,27948,27950,15,haversine_meters,True,0.4883267879486084,0.007262229919433594,
lstm_baseline,ok,temporal_test,36039.17869992777,36116.804188316186,57826.345250434504,22176.218796647365,130428,27948,27950,15,haversine_meters,True,233.9627649784088,0.9687600135803223,
ridge_lstsq,ok,temporal_test,3141.7311429986694,5079.4999235574,12468.890582055568,1965.7942349514572,130428,27948,27950,15,haversine_meters,True,0.144517183303833,0.0217897891998291,
tcn_baseline,ok,temporal_test,47095.53360111933,47078.010266347796,48378.207767454405,29703.921702756383,130428,27948,27950,15,haversine_meters,True,34.33923292160034,0.4819169044494629,
transformer_baseline,ok,temporal_test,56310.72638525193,55923.53912183533,57766.44766567339,34854.0073498278,130428,27948,27950,15,haversine_meters,True,78.25562000274658,1.0005159378051758,
constant_acceleration,ok,vessel_disjoint_test,36237.06602688809,67988.22460245807,1786906.589847646,55853.52036628363,130018,28597,27711,15,haversine_meters,True,0.0,0.0071408748626708984,
constant_velocity,ok,vessel_disjoint_test,9553.523596635167,17014.160141159453,198051.01214541084,6181.812516902466,130018,28597,27711,15,haversine_meters,True,0.0,0.005833864212036133,
gru_baseline,ok,vessel_disjoint_test,23989.010644019425,24569.40809541952,27375.99982535147,14911.082172716084,130018,28597,27711,15,haversine_meters,True,112.1834487915039,1.0250439643859863,
kalman_filter_cv,ok,vessel_disjoint_test,3109.443791582576,5979.557729838693,47635.610528540696,1941.483180686291,130018,28597,27711,15,haversine_meters,True,0.0,0.016653060913085938,
linear_lstsq,ok,vessel_disjoint_test,8113.279535519995,14869.757004916119,172502.5444034259,5291.7797060815365,130018,28597,27711,15,haversine_meters,True,0.5844910144805908,0.009944915771484375,
lstm_baseline,ok,vessel_disjoint_test,51010.55910946179,50890.057314640566,77725.28006397099,32747.181089108428,130018,28597,27711,15,haversine_meters,True,132.11688590049744,1.0293219089508057,
ridge_lstsq,ok,vessel_disjoint_test,3446.9001198267442,6463.356091976397,18536.463460184215,2153.1484667350296,130018,28597,27711,15,haversine_meters,True,0.12658905982971191,0.01919102668762207,
tcn_baseline,ok,vessel_disjoint_test,32833.13956491044,34379.0908688298,34775.303743983226,20214.319548920288,130018,28597,27711,15,haversine_meters,True,80.13465476036072,0.6031138896942139,
transformer_baseline,ok,vessel_disjoint_test,47559.080583488765,45907.010109379524,46592.62244580853,30158.908484288495,130018,28597,27711,15,haversine_meters,True,104.44031405448914,0.9917402267456055,
